Price,Address,Beds,Baths,Sqft,URL
$370000,7490 Desert Lupine St Las Vegas NV 89139,3,2.5,1584,https://www.redfin.com/NV/Las-Vegas/7490-S-Desert-Lupine-St-89139/home/29035903
N/A,N/A,N/A,N/A,N/A,N/A
$329900,3509 Bonanza Rd Las Vegas NV 89107,3,2,1260,https://www.redfin.com/NV/Las-Vegas/3509-W-Bonanza-Rd-89106/home/29342958
$376000,5133 Santo Ave Las Vegas NV 89108,3,2,1315,https://www.redfin.com/NV/Las-Vegas/5133-Santo-Ave-89108/home/29189312
$379900,5327 Lamoille Cir Las Vegas NV 89120,3,2,1397,https://www.redfin.com/NV/Las-Vegas/5327-Lamoille-Cir-89120/home/29442155
$364000,3689 Via Amigos Pl Las Vegas NV 89115,3,2.5,1591,https://www.redfin.com/NV/Las-Vegas/3689-Via-Amigos-Pl-89115/home/166590224
$375000,4529 Amherst Ln Las Vegas NV 89107,3,2.5,1612,https://www.redfin.com/NV/Las-Vegas/4529-Amherst-Ln-89107/home/29343051
$371000,6721 Legalla Ln Las Vegas NV 89156,3,2,1196,https://www.redfin.com/NV/Las-Vegas/6721-Legalla-Ln-89156/home/29372902
$354999,7565 Emerald Stars Ave #102 North Las Vegas NV 89084,3,2.5,1399,https://www.redfin.com/NV/North-Las-Vegas/7565-Emerald-Stars-St-89084/unit-102/home/174787963
$294000,8028 Cimarron Ridge Dr #201 Las Vegas NV 89128,3,2,1155,https://www.redfin.com/NV/Las-Vegas/8028-Cimarron-Ridge-Dr-89128/unit-201/home/29203936
$368000,2575 Raywood St Las Vegas NV 89142,3,2,1227,https://www.redfin.com/NV/Las-Vegas/2575-Raywood-St-89142/home/29416602
N/A,N/A,N/A,N/A,N/A,N/A
$359900,5521 Port Barrington Way Las Vegas NV 89130,3,2,1587,https://www.redfin.com/NV/Las-Vegas/5521-Port-Barrington-Way-89130/home/29102466
$374900,3578 Red Rock St Las Vegas NV 89103,3,2,1135,https://www.redfin.com/NV/Las-Vegas/3578-Red-Rock-St-89103/home/29540681
$318000,7103 Kenwood St Las Vegas NV 89147,3,2,1414,https://www.redfin.com/NV/Las-Vegas/7103-Kenwood-St-89147/home/29567977
$379979,6489 Mountain Mesa Ave Las Vegas NV 89156,3,2,1437,https://www.redfin.com/NV/Las-Vegas/6489-Mountain-Mesa-Ave-89156/home/29361931
$379500,6249 Fairwood Ave Las Vegas NV 89107,3,2,1348,https://www.redfin.com/NV/Las-Vegas/6249-Fairwood-Ave-89107/home/29230193
$329999,3499 Ruth Dr Las Vegas NV 89121,3,2,1535,https://www.redfin.com/NV/Las-Vegas/3499-Ruth-Dr-89121/home/29423738
$375000,6793 E Carey Ave Las Vegas NV 89156,3,2,1755,https://www.redfin.com/NV/Las-Vegas/6793-E-Carey-Ave-89156/home/29372313
$335000,5563 Gold Mint Ln Las Vegas NV 89122,3,2.5,1362,https://www.redfin.com/NV/Las-Vegas/5563-Gold-Mint-Ln-89122/home/29012905
$340000,1304 Arrowhead Ave Las Vegas NV 89106,3,2,1420,https://www.redfin.com/NV/Las-Vegas/1304-Arrowhead-Ave-89106/home/29339379
$380000,9129 Beauchamp Ave Las Vegas NV 89148,3,2.5,1421,https://www.redfin.com/NV/Las-Vegas/9129-Beauchamp-Ave-89148/home/28989918
$355000,1209 I St Las Vegas NV 89106,3,2,1780,https://www.redfin.com/NV/Las-Vegas/1209-I-St-89106/home/29338489
$355000,10626 Seasonable Dr Las Vegas NV 89129,3,2.5,1365,https://www.redfin.com/NV/Las-Vegas/10626-Seasonable-Dr-89129/home/52624673
$374900,7852 Running Doe Ct Las Vegas NV 89149,3,2.5,1560,https://www.redfin.com/NV/Las-Vegas/7852-Running-Doe-Ct-89149/home/29022959
$375000,7701 Rockfield Dr Las Vegas NV 89128,3,2,1530,https://www.redfin.com/NV/Las-Vegas/7701-Rockfield-Dr-89128/home/29166707
$319000,9009 Becoming Ct Las Vegas NV 89149,3,2.5,1258,https://www.redfin.com/NV/Las-Vegas/9009-Becoming-Ct-89149/home/29022194
$342500,4005 Broadriver Dr Las Vegas NV 89108,3,2,1135,https://www.redfin.com/NV/Las-Vegas/4005-N-Broadriver-Dr-89108/home/29119675
